Entity Name,Entity ID,Entity Type,County Name,City,State,Zip,Estimated Population,Class Data,Fiscal Year End,Paper Report Due Date,Electronic Report Due Date
Adelanto,1128,CIT,San Bernardino,Adelanto,CA,92301,36569,Chartered,630,131,131
Agoura Hills,1129,CIT,Los Angeles,Agoura Hills,CA,91301,19975,General Law,630,131,131
Alameda,1130,CIT,Alameda,Alameda,CA,94501,78262,Chartered,630,131,131
Albany,1131,CIT,Alameda,Albany,CA,94706-2226,20542,Chartered,630,131,131
Alhambra,1132,CIT,Los Angeles,Alhambra,CA,91802-2351,82182,Chartered,630,131,131
Aliso Viejo,8635,CIT,Orange,Aliso Viejo,CA,92656-5335,51233,General Law,630,131,131
Alturas,1133,CIT,Modoc,Alturas,CA,96101,2699,General Law,630,131,131
Amador,1134,CIT,Amador,Amador,CA,95601,193,General Law,630,131,131
American Canyon,1135,CIT,Napa,American Canyon,CA,94503-1100,21566,General Law,630,131,131
Anaheim,1136,CIT,Orange,Anaheim,CA,92805,344604,Chartered,630,131,131
Anderson,1137,CIT,Shasta,Anderson,CA,96007,11181,General Law,630,131,131
Angels,1138,CIT,Calaveras,Angels Camp,CA,95222-0667,3641,General Law,630,131,131
Antioch,1139,CIT,Contra Costa,Antioch,CA,94531-5007,115142,General Law,630,131,131
Apple Valley,1140,CIT,San Bernardino,Apple Valley,CA,92307,76160,General Law,630,131,131
Arcadia,1141,CIT,Los Angeles,Arcadia,CA,91066-6021,56240,Chartered,630,131,131
Arcata,1142,CIT,Humboldt,Arcata,CA,95521,17633,General Law,630,131,131
Arroyo Grande,1143,CIT,San Luis Obispo,Arroyo Grande,CA,93420,18533,General Law,630,131,131
Artesia,1144,CIT,Los Angeles,Artesia,CA,90701,16347,General Law,630,131,131
Arvin,1145,CIT,Kern,Arvin,CA,93203,19833,General Law,630,131,131
Atascadero,1146,CIT,San Luis Obispo,Atascadero,CA,93422,30823,General Law,630,131,131
Atherton,1147,CIT,San Mateo,Atherton,CA,94027,6806,General Law,630,131,131
Atwater,1148,CIT,Merced,Atwater,CA,95301,32019,General Law,630,131,131
Auburn,1149,CIT,Placer,Auburn,CA,95603,13795,General Law,630,131,131
Avalon,1150,CIT,Los Angeles,Avalon,CA,90704,3428,General Law,630,131,131
Avenal,1151,CIT,Kings,Avenal,CA,93204,12750,General Law,630,131,131
Azusa,1152,CIT,Los Angeles,Azusa,CA,91702-1395,50191,General Law,630,131,131
Bakersfield,1153,CIT,Kern,Bakersfield,CA,93307,406129,Chartered,630,131,131
Baldwin Park,1154,CIT,Los Angeles,Baldwin Park,CA,91706,71455,General Law,630,131,131
Banning,1155,CIT,Riverside,Banning,CA,92220,30629,General Law,630,131,131
Barstow,1156,CIT,San Bernardino,Barstow,CA,92311-2888,25405,General Law,630,131,131
Beaumont,1157,CIT,Riverside,Beaumont,CA,92223,54313,General Law,630,131,131
Bell,1158,CIT,Los Angeles,Bell,CA,90201-1291,33962,Chartered,630,131,131
Bell Gardens,1159,CIT,Los Angeles,Bell Gardens,CA,90201,39265,General Law,630,131,131
